dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.01,ann-faiss,"{}_[10, 0, 512, 1]",0.9811819406800715,737.1222,0.031103825569152827,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 0, 512, 5]",0.9804835274176489,1621.7507,0.05634205341339112,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 0, 512, 10]",0.9804557956373361,2689.8592,0.0854344367980957,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 0, 512, 50]",0.9804468591110046,10693.8974,0.3155207633972168,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 50, 512, 1]",0.36936239896507117,787.1222,0.04621968269348144,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 50, 512, 5]",0.37844715217863906,1671.7507,0.07136690616607666,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 50, 512, 10]",0.3917831329855985,2739.8592,0.1011962890625,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 50, 512, 50]",0.3858337345706016,10743.8974,0.33395543098449715,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 100, 512, 1]",0.2898006058676193,837.1222,0.06048736572265624,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 100, 512, 5]",0.2858397923204394,1721.7507,0.08586180210113525,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 100, 512, 10]",0.28543753007041034,2789.8592,0.11497945785522459,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[10, 100, 512, 50]",0.280276788056265,10793.8974,0.3482262611389161,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 0, 512, 1]",0.9411605520920177,737.1222,0.040412306785583496,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 0, 512, 5]",0.9376984838087281,1621.7507,0.0673085927963257,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 0, 512, 10]",0.937501931169656,2689.8592,0.09731695652008059,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 0, 512, 50]",0.9374315777622784,10693.8974,0.32662272453308105,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 50, 512, 1]",0.33653315959225805,787.1222,0.05485317707061767,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 50, 512, 5]",0.3321834369502503,1671.7507,0.08273715972900389,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 50, 512, 10]",0.3335419036051717,2739.8592,0.11321880817413328,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 50, 512, 50]",0.3348479028556241,10743.8974,0.34296236038208,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 100, 512, 1]",0.2475480136107684,837.1222,0.06904721260070801,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 100, 512, 5]",0.24110214939085098,1721.7507,0.09836127758026121,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 100, 512, 10]",0.2423405392558755,2789.8592,0.12775716781616214,2.1312406063079834
aloi,test,0.01,ann-faiss,"{}_[50, 100, 512, 50]",0.24138501283548777,10793.8974,0.36028163433074945,2.1312406063079834
